Time,X,Y,Pitch,Roll,Yaw
32.878,0.377,0.259,-6.146,2.168,1.531,
33.024,0.347,0.167,-5.648,1.778,1.567,
33.172,0.370,0.230,-5.727,1.503,1.559,
33.324,0.138,-0.025,-5.564,0.786,1.503,
33.464,0.204,0.008,0.396,-1.519,1.663,
33.606,0.371,0.235,-6.012,0.655,1.437,
33.743,0.230,0.025,-5.787,2.338,1.622,
33.891,0.303,0.097,0.062,-1.257,1.668,
34.031,0.382,0.346,-6.860,2.854,1.619,
34.169,0.343,0.160,-0.519,-1.604,1.624,
34.329,0.368,0.224,-0.540,-0.373,1.511,
34.472,0.222,0.020,-5.733,1.965,1.588,
34.614,0.266,0.056,-6.172,2.244,1.628,
34.756,0.376,0.258,-5.822,1.988,1.520,
34.904,0.309,0.104,-0.370,-1.243,1.606,
35.048,0.270,0.059,0.420,-1.833,1.593,
35.189,0.327,0.131,-5.319,1.425,1.577,
35.334,0.279,0.069,-6.085,2.153,1.536,
35.481,0.343,0.159,0.257,-1.446,1.677,
35.622,0.315,0.113,-5.620,2.016,1.544,
35.764,0.341,0.156,-5.813,2.155,1.573,
35.909,0.356,0.188,-5.648,2.284,1.596,
36.048,0.376,0.254,-5.863,2.597,1.644,
36.190,0.273,0.063,-4.539,1.724,1.567,
36.327,0.342,0.157,-6.043,2.040,1.528,
36.463,0.134,-0.026,-5.736,2.317,1.662,
36.613,0.331,0.137,-0.510,-0.514,1.540,
36.749,0.379,0.275,-6.121,2.200,1.562,
36.891,0.349,0.173,-0.814,-1.068,1.587,
37.038,0.302,0.095,-5.543,1.222,1.483,
37.187,0.101,-0.188,-4.265,1.138,1.563,
37.325,0.104,-0.174,-4.293,1.139,1.540,
37.468,0.351,0.176,-5.778,1.780,1.581,
37.602,0.371,0.231,-0.104,-1.862,1.667,
37.745,0.377,0.260,-6.871,1.809,1.530,
37.885,0.298,0.090,-5.653,0.017,1.449,
38.014,0.379,0.277,-5.415,1.307,1.519,
38.156,0.378,0.266,-6.348,3.282,1.690,
38.319,0.377,0.262,-5.815,1.779,1.536,
38.461,0.281,0.071,-5.702,0.647,1.563,
38.608,0.380,0.281,-0.303,-1.238,1.672,
