Time,X,Y,Pitch,Roll,Yaw
15.487,-0.116,0.029,2.279,-1.725,0.588,
15.627,-0.086,0.107,2.473,-0.806,0.593,
15.773,-0.060,0.041,1.478,-1.162,0.472,
15.912,-0.069,0.116,0.049,-1.300,0.571,
16.058,-0.055,0.147,2.519,-1.122,0.567,
16.198,-0.102,0.158,2.097,-0.203,0.624,
16.341,-0.032,0.156,1.416,-1.832,0.566,
16.481,-0.051,0.257,2.362,-0.162,0.533,
16.628,-0.023,0.110,1.540,-1.651,0.510,
16.772,0.058,0.188,2.453,-0.483,0.482,
16.923,0.009,0.297,1.749,-1.715,0.680,
17.072,-0.109,0.099,0.783,0.713,0.698,
17.224,-0.040,0.221,1.440,-0.924,0.781,
17.374,0.036,0.190,-0.152,-1.020,0.606,
17.515,0.035,0.124,1.175,0.331,0.535,
17.659,0.085,0.082,-0.221,-0.668,0.409,
17.816,-0.115,-0.089,-0.762,0.591,0.809,
17.969,0.070,0.112,-1.761,-2.552,0.445,
18.131,0.063,0.171,0.873,0.465,0.412,
18.273,0.061,0.147,-0.973,-1.175,0.504,
18.432,0.072,0.106,-0.567,-0.127,0.459,
18.574,0.075,0.125,-1.305,-2.688,0.391,
18.741,0.089,0.087,-0.750,-2.139,0.414,
18.895,0.001,0.056,-1.120,-2.391,0.522,
19.048,0.040,0.123,1.164,0.290,0.495,
19.193,-0.105,-0.043,-1.788,-1.628,0.698,
19.337,-0.090,-0.035,-0.859,-0.014,0.663,
19.493,-0.070,0.020,-2.097,0.049,0.656,
19.645,0.077,0.258,1.755,0.937,0.550,
19.796,0.114,0.082,-0.026,0.396,0.409,
19.946,0.116,0.152,-0.522,0.839,0.562,
20.097,0.058,0.133,1.073,-0.265,0.519,
20.240,0.015,0.124,0.808,-1.588,0.729,
20.385,0.182,0.180,0.405,-1.624,0.525,
20.528,0.111,0.167,0.957,-1.931,0.585,
20.671,0.121,0.206,1.250,-1.702,0.622,
20.818,0.135,0.223,-0.182,-0.875,0.559,
20.962,0.083,0.024,0.696,-0.439,0.355,
21.111,0.062,0.167,-0.819,-2.771,0.523,
21.265,0.042,0.055,-0.867,-2.494,0.414,
21.420,0.090,0.087,1.192,0.265,0.354,
21.562,0.114,0.143,1.630,0.265,0.420,
21.722,-0.045,-0.106,1.255,-0.522,0.464,
21.880,0.179,0.005,0.491,2.105,0.311,
22.030,0.060,0.064,1.863,0.521,0.462,
22.178,0.067,0.083,0.307,0.516,0.493,
22.320,0.054,0.140,-1.314,-1.307,0.543,
22.461,0.048,0.121,-0.203,0.421,0.595,
22.604,-0.062,0.111,-0.086,0.126,0.679,
22.741,0.091,0.193,1.028,-1.696,0.537,
22.896,0.111,0.225,1.493,-1.358,0.521,
23.041,0.067,0.198,-0.050,-1.677,0.561,
23.177,0.055,0.065,1.458,-0.423,0.468,
23.309,0.025,0.104,-1.814,-0.350,0.583,
23.439,0.040,0.008,1.769,-0.042,0.402,
23.591,0.015,0.074,-0.017,-1.047,0.530,
23.738,0.046,0.006,0.738,-3.048,0.488,
23.881,-0.035,-0.105,0.929,-0.183,0.377,
24.037,0.032,0.030,1.624,0.708,0.358,
24.185,0.089,0.113,0.614,-3.407,0.508,
24.335,0.059,0.155,1.705,-1.473,0.546,
24.490,-0.123,0.011,0.459,-0.669,0.559,
24.655,0.078,0.040,-1.133,-0.993,0.349,
24.823,0.051,0.193,-0.132,-1.241,0.477,
24.975,0.064,0.137,0.223,-1.045,0.461,
25.126,-0.134,-0.110,-1.569,7.048,0.873,
25.288,0.144,0.213,3.422,-0.489,0.467,
25.440,0.072,0.180,0.124,-0.334,0.505,
25.592,0.138,0.284,1.755,-0.342,0.529,
25.744,0.037,0.214,0.360,-0.754,0.561,
25.912,0.092,0.106,1.993,-2.254,0.427,
26.075,0.146,0.192,0.634,-1.556,0.432,
26.268,-0.024,0.052,-0.672,-2.192,0.478,
26.421,0.086,0.094,1.248,-0.698,0.369,
26.566,0.078,0.030,0.787,-0.903,0.334,
26.724,0.077,0.122,0.288,-0.238,0.413,
26.876,-0.067,-0.034,0.679,-0.267,0.548,
27.028,0.093,0.066,-0.651,-2.102,0.332,
27.196,0.206,0.016,1.479,-2.315,0.315,
27.347,-0.076,-0.039,0.655,-0.655,0.653,
27.504,0.155,0.052,1.605,0.394,0.216,
27.670,0.158,0.128,0.888,0.025,0.262,
27.819,-0.057,-0.342,-0.873,9.589,0.828,
27.969,-0.014,0.104,1.801,0.616,0.492,
28.135,0.027,0.016,0.910,-2.005,0.474,
28.291,0.067,-0.016,-0.524,0.408,0.368,
28.445,-0.023,0.051,0.230,0.954,0.518,
28.591,-0.053,-0.043,-0.287,0.789,0.536,
28.750,-0.098,-0.105,0.272,0.936,0.563,
28.909,-0.050,0.000,0.120,-2.378,0.610,
29.062,0.217,0.040,1.202,0.508,0.217,
29.207,-0.074,-0.048,-0.001,0.698,0.571,
29.361,0.083,0.055,0.491,1.003,0.413,
29.521,0.042,0.156,0.488,1.087,0.524,
29.675,0.033,0.143,-1.164,-0.212,0.504,
29.824,-0.028,-0.049,0.583,0.440,0.449,
29.980,-0.077,-0.060,0.247,-1.654,0.660,
30.145,0.113,0.107,0.843,-1.258,0.404,
30.303,-0.027,-0.020,-1.686,-1.744,0.446,
30.463,0.032,-0.499,-0.705,8.470,0.888,
30.622,0.016,0.205,-1.910,-0.647,0.540,
30.784,0.150,0.161,-1.976,-0.345,0.404,
30.917,-0.081,0.067,-2.043,-0.207,0.635,
31.072,0.102,0.153,-0.876,-0.231,0.490,
31.216,0.190,0.131,0.906,-0.022,0.382,
31.353,0.090,0.135,0.539,-1.873,0.539,
31.480,0.078,0.104,0.923,0.010,0.530,
31.635,0.198,0.087,-1.169,-1.505,0.302,
31.775,0.224,0.116,1.880,-1.177,0.386,
31.915,0.081,0.126,-1.554,-0.118,0.534,
32.079,0.154,0.172,0.706,-2.008,0.529,
32.223,0.094,0.193,-0.435,-1.469,0.515,
32.366,0.158,0.162,0.688,-0.814,0.419,
32.511,-0.088,-0.141,-0.416,0.636,0.685,
32.655,0.078,0.132,-0.570,-1.183,0.507,
32.800,-0.069,0.101,-0.188,-0.735,0.807,
32.947,0.087,0.185,0.801,-1.261,0.576,
33.090,0.140,0.123,0.754,-0.209,0.459,
33.235,-0.047,0.023,-0.218,0.665,0.654,
33.378,-0.037,0.031,-0.977,-1.528,0.662,
33.525,-0.077,0.021,-2.368,-0.016,0.798,
33.669,0.059,0.170,-1.631,-1.373,0.517,
33.811,0.113,0.135,0.659,0.066,0.483,
33.967,0.106,0.118,-1.063,-1.442,0.473,
34.111,0.121,0.134,0.786,-0.836,0.459,
34.262,0.067,0.141,0.515,0.388,0.512,
34.431,0.192,0.128,1.082,-0.077,0.396,
34.619,-0.057,0.090,-1.365,-1.090,0.705,
34.794,0.068,0.067,0.089,0.078,0.473,
34.944,-0.057,0.073,0.158,0.499,0.701,
35.094,0.064,0.073,0.691,0.333,0.478,
35.259,0.175,0.104,0.718,0.190,0.350,
35.412,0.112,0.177,1.031,-0.170,0.505,
35.562,0.132,0.127,0.821,0.138,0.454,
35.711,0.080,0.062,0.349,0.422,0.404,
35.854,0.147,0.145,1.028,-0.030,0.428,
36.016,0.076,0.039,-0.108,-0.763,0.440,
36.175,0.112,0.143,-1.086,-1.628,0.450,
36.351,0.101,0.168,1.103,0.070,0.540,
36.552,0.085,0.211,0.723,0.668,0.520,
36.728,0.145,0.165,0.995,0.223,0.402,
36.933,0.073,0.174,0.864,-0.019,0.530,
37.101,-0.028,0.009,-0.100,-0.686,0.615,
37.250,-0.076,0.078,0.139,-0.090,0.704,
37.400,0.067,0.141,-0.775,0.258,0.510,
37.558,0.099,0.177,-1.460,-1.489,0.490,
37.706,0.124,0.097,0.897,0.029,0.468,
37.851,-0.040,0.145,0.628,0.389,0.728,
38.004,0.099,0.171,0.938,0.039,0.499,
38.151,0.092,0.154,0.683,0.275,0.516,
38.300,0.092,0.171,0.770,-0.002,0.547,
38.437,0.084,0.133,0.784,-0.488,0.486,
38.587,0.073,0.194,-1.380,-1.623,0.533,
38.733,0.106,0.163,0.764,-0.524,0.533,
38.883,0.059,0.110,0.918,-0.389,0.534,
39.021,0.102,0.154,0.612,0.104,0.461,
39.177,0.076,0.190,0.019,-0.834,0.558,
39.330,0.116,0.136,-0.439,-1.099,0.479,
39.480,-0.088,0.061,0.005,0.616,0.775,
39.628,0.061,0.086,0.295,0.262,0.483,
39.776,0.095,0.090,1.038,0.103,0.468,
39.929,0.077,0.164,0.587,-0.244,0.505,
40.073,0.023,0.083,-1.327,-0.521,0.563,
40.219,-0.074,0.048,0.247,0.245,0.759,
40.369,0.120,0.131,-1.175,-1.763,0.474,
40.520,0.069,0.166,0.955,-0.181,0.559,
40.667,-0.076,-0.055,-0.605,-0.087,0.648,
40.804,-0.067,-0.045,-0.977,-1.409,0.712,
40.957,0.103,0.110,0.701,-0.034,0.464,
41.101,0.086,0.193,-1.117,-1.389,0.519,
41.250,0.093,0.108,0.444,0.053,0.480,
41.394,0.144,0.196,0.857,-0.178,0.487,
41.543,0.142,0.161,0.478,-1.444,0.482,
41.691,-0.071,-0.031,-0.465,-0.417,0.717,
41.841,0.105,0.156,0.624,-0.082,0.483,
41.985,0.069,0.120,0.679,0.001,0.511,
42.133,0.073,0.226,0.833,-1.021,0.605,
42.273,0.115,0.145,1.335,0.000,0.463,
42.411,0.102,0.224,-0.283,-1.602,0.542,
42.553,0.090,0.070,0.639,-0.586,0.425,
42.698,-0.079,0.022,0.353,0.531,0.729,
42.851,0.105,0.165,1.171,0.670,0.476,
43.005,-0.045,0.022,0.261,-0.186,0.629,
43.197,0.101,0.070,0.391,-0.428,0.391,
43.344,0.119,0.122,0.520,-0.949,0.441,
43.479,0.100,0.186,0.793,-0.594,0.518,
43.618,0.080,0.131,-0.579,-1.701,0.509,
43.756,0.078,0.157,0.985,0.181,0.503,
43.905,0.082,0.186,0.971,0.261,0.534,
44.039,0.113,0.139,0.923,0.181,0.431,
44.178,-0.046,-0.008,0.566,0.494,0.581,
44.320,0.099,0.124,1.206,0.159,0.462,
44.457,0.127,0.116,1.223,0.078,0.436,
44.589,0.111,0.146,1.013,-0.014,0.464,
44.732,-0.045,0.035,0.713,0.507,0.646,
44.880,0.108,0.174,1.065,0.342,0.450,
45.052,0.131,0.099,0.904,-0.126,0.391,
45.228,-0.027,0.046,0.620,0.713,0.587,
45.389,0.126,0.086,1.113,0.321,0.371,
45.536,0.087,0.204,0.735,-0.331,0.514,
45.678,0.115,0.133,1.340,0.123,0.481,
45.818,0.118,0.133,0.836,0.786,0.405,
45.966,0.132,0.107,1.198,0.447,0.375,
46.115,0.107,0.161,0.866,0.519,0.456,
46.263,0.103,0.108,1.008,0.342,0.396,
46.416,0.142,0.141,1.186,0.057,0.413,
46.566,0.142,0.168,0.938,-0.634,0.430,
46.715,0.120,0.063,1.012,0.438,0.338,
46.860,-0.047,0.085,0.241,0.168,0.651,
47.005,-0.013,0.075,0.688,0.714,0.562,
47.152,0.097,0.267,1.649,0.727,0.521,
47.321,0.104,0.107,0.920,0.013,0.409,
47.475,0.114,0.218,-0.323,-1.857,0.520,
47.623,0.109,0.094,1.434,0.541,0.386,
47.777,-0.036,0.061,0.200,-0.202,0.586,
47.920,0.129,0.128,1.464,0.502,0.424,
48.061,0.094,0.170,0.551,-0.156,0.486,
48.210,0.070,0.159,0.661,-0.317,0.546,
48.347,0.049,0.349,2.636,-4.848,0.731,
48.481,0.097,0.129,1.219,0.480,0.406,
48.631,-0.023,0.100,0.535,0.898,0.552,
48.776,0.093,0.174,0.703,-0.163,0.436,
48.912,0.170,0.145,-0.158,0.247,0.403,
49.057,0.099,0.211,0.823,0.188,0.465,
49.195,0.119,0.089,1.431,0.503,0.366,
49.344,0.133,0.110,1.358,0.622,0.396,
49.476,0.105,0.111,0.061,-0.150,0.415,
49.601,-0.151,0.003,-0.901,-2.263,0.183,
49.731,-0.478,-0.145,0.117,-1.255,0.607,
49.858,-0.125,0.030,-1.427,-1.799,0.135,
50.007,0.102,0.089,0.280,-0.326,0.469,
50.144,0.081,0.185,-0.832,-1.760,0.559,
50.285,0.114,0.144,1.544,0.125,0.490,
50.444,0.365,-0.172,1.530,-0.273,0.682,
50.597,0.301,-0.205,1.831,-0.059,0.556,
50.754,0.227,-0.150,1.318,0.025,0.546,
50.907,0.211,-0.039,1.557,-0.412,0.565,
51.057,0.244,-0.174,1.511,-0.107,0.484,
51.209,0.210,-0.038,1.244,-0.722,0.572,
51.356,0.217,-0.124,1.811,-0.226,0.520,
51.509,0.180,-0.123,0.160,-0.471,0.502,
51.657,0.172,-0.099,1.096,-0.056,0.496,
51.802,0.081,-0.221,0.923,0.093,0.677,
51.955,0.201,-0.115,1.523,-0.598,0.547,
52.106,0.269,-0.125,0.884,-0.113,0.581,
52.246,0.228,-0.164,1.497,-0.208,0.528,
52.401,0.261,-0.157,1.561,-0.338,0.612,
52.549,0.300,-0.127,1.950,-0.063,0.619,
52.697,0.319,-0.224,2.083,-0.361,0.573,
52.867,0.347,-0.199,2.056,-0.595,0.600,
53.019,0.340,-0.191,1.993,-0.314,0.593,
53.169,0.345,-0.168,1.283,-1.064,0.629,
53.320,0.100,-0.175,0.851,-0.623,0.645,
53.498,0.162,0.179,1.222,-0.090,0.426,
53.668,0.124,0.122,1.148,-1.569,0.496,
53.829,0.089,0.178,0.192,-1.160,0.517,
54.004,0.136,0.198,0.409,-1.959,0.609,
54.187,0.258,-0.544,1.154,-1.996,0.445,
54.366,0.486,-0.561,0.761,-1.356,0.712,
54.554,0.360,-0.127,-1.709,-0.597,0.753,
54.730,0.565,-0.245,-1.535,0.051,1.017,
54.903,1.007,-0.306,0.840,-0.639,1.611,
55.069,1.049,-0.324,0.837,-0.481,1.622,
55.254,0.414,-0.116,-0.233,-1.595,0.831,
55.416,0.366,-0.225,1.633,-1.529,0.851,
55.571,0.404,-0.184,0.327,-0.671,0.821,
55.711,0.490,-0.215,0.022,-0.803,0.705,
55.858,0.414,-0.183,2.220,-0.585,0.764,
56.013,0.334,-0.128,0.985,-1.728,0.606,
56.163,0.241,-0.054,1.888,-1.580,0.817,
56.302,0.293,-0.127,0.299,-1.795,0.686,
56.449,0.235,-0.112,1.636,-1.510,0.704,
56.598,0.269,-0.087,2.129,-1.514,0.737,
56.750,0.400,-0.124,0.832,-1.494,0.754,
56.895,0.285,-0.106,0.544,-1.498,0.706,
57.050,0.275,-0.132,1.574,-1.659,0.669,
57.214,0.301,-0.095,0.963,-1.274,0.711,
57.361,0.293,-0.140,0.536,-1.824,0.696,
57.521,0.290,-0.122,0.849,-1.525,0.670,
57.675,0.271,-0.078,1.945,-1.397,0.774,
57.824,0.348,-0.149,1.347,-1.670,0.735,
57.974,0.275,-0.102,1.444,-1.237,0.723,
58.125,0.395,-0.147,1.401,-1.390,0.679,
58.270,0.323,-0.184,1.764,-1.318,0.688,
58.411,0.359,-0.132,0.582,-1.643,0.711,
58.559,0.356,-0.101,0.922,-1.475,0.679,
58.710,0.268,-0.091,1.987,-1.444,0.696,
58.855,0.328,-0.152,1.415,-1.615,0.680,
59.002,0.313,-0.144,1.913,-0.704,0.780,
59.148,0.311,-0.187,1.816,-0.532,0.619,
59.303,0.328,-0.087,0.874,-1.389,0.736,
59.454,0.299,-0.123,1.750,-0.250,0.724,
59.598,0.341,-0.116,1.585,-1.081,0.733,
59.742,0.265,-0.090,1.128,-1.460,0.723,
59.889,0.318,-0.112,2.097,-0.945,0.729,
60.034,0.299,-0.104,0.633,-1.637,0.625,
60.194,0.364,-0.224,0.557,-1.588,0.640,
60.351,0.367,-0.172,0.993,-1.522,0.684,
60.494,0.368,-0.121,1.571,-1.166,0.713,
60.639,0.345,-0.134,0.909,-1.757,0.684,
60.787,0.144,-0.129,1.167,-1.085,0.930,
60.990,0.337,-0.097,0.830,-1.189,0.755,
61.144,0.330,-0.168,0.596,-1.571,0.692,
61.296,0.324,-0.117,1.550,-1.225,0.729,
61.449,0.302,-0.134,1.615,-0.221,0.643,
61.595,0.299,-0.110,0.582,-1.869,0.636,
61.737,0.331,-0.095,1.808,-1.533,0.694,
61.885,0.260,-0.071,1.130,-1.154,0.736,
62.037,0.329,-0.158,2.037,-0.661,0.667,
62.191,0.337,-0.114,1.268,-1.141,0.721,
62.336,0.208,-0.129,1.537,-1.303,0.822,
62.490,0.293,-0.152,1.815,-0.780,0.694,
62.634,0.336,-0.177,0.728,-1.521,0.610,
62.787,0.343,-0.046,1.252,-1.676,0.804,
62.937,0.357,-0.192,0.470,-1.750,0.635,
63.083,0.343,-0.103,1.909,-1.486,0.655,
63.234,0.259,-0.110,2.182,-0.258,0.698,
63.385,0.350,-0.116,1.128,-1.575,0.719,
63.528,0.301,-0.138,1.723,-1.710,0.681,
63.675,0.268,-0.084,0.827,-1.273,0.761,
63.816,0.356,-0.177,0.471,-1.455,0.646,
63.962,0.264,-0.014,1.858,-0.303,0.734,
64.107,0.337,-0.115,1.746,-1.699,0.764,
64.254,0.273,-0.156,0.248,-1.365,0.688,
64.408,0.323,-0.174,2.028,-0.695,0.658,
64.553,0.188,-0.104,0.390,-1.231,0.899,
64.718,0.325,-0.179,2.111,-1.318,0.688,
64.856,0.305,-0.112,1.613,-0.577,0.649,
65.005,0.313,-0.114,1.624,-1.590,0.749,
65.149,0.348,-0.102,1.792,-0.540,0.700,
65.301,0.272,-0.137,1.707,-1.399,0.782,
65.452,0.321,-0.046,2.016,-1.196,0.759,
65.604,0.311,-0.150,1.962,-1.628,0.670,
65.750,0.322,-0.121,1.583,-1.566,0.697,
65.903,0.216,-0.185,0.186,-1.305,0.888,
66.063,0.364,-0.134,1.823,-1.268,0.696,
66.212,0.369,-0.101,1.615,-0.555,0.825,
66.359,0.304,-0.135,1.565,-1.628,0.722,
66.502,0.310,-0.198,1.118,-1.833,0.745,
66.676,0.309,-0.098,0.480,-1.344,0.763,
66.842,0.360,-0.080,2.059,-1.514,0.776,
66.996,0.332,-0.102,0.110,-1.581,0.711,
67.143,0.315,-0.070,1.848,-1.314,0.720,
67.295,0.312,-0.159,1.368,-1.178,0.640,
67.439,0.277,-0.100,1.685,-1.600,0.731,
67.587,0.324,-0.104,1.706,-0.663,0.754,
67.733,0.379,-0.139,0.438,-1.699,0.626,
67.877,0.304,-0.146,1.949,-1.132,0.716,
68.027,0.316,-0.187,0.292,-1.596,0.682,
68.173,0.352,-0.115,0.634,-0.784,0.672,
68.314,0.286,-0.125,0.560,-1.518,0.685,
68.455,0.359,-0.106,1.552,-0.432,0.713,
68.623,0.293,-0.107,0.873,-1.262,0.676,
68.763,0.365,-0.111,1.957,-1.247,0.694,
68.909,0.360,-0.202,0.460,-1.715,0.665,
69.061,0.295,-0.056,1.729,-1.020,0.733,
69.209,0.353,-0.167,1.800,-1.423,0.712,
69.357,0.294,-0.139,1.606,-1.311,0.701,
69.510,0.266,-0.101,1.484,-1.312,0.717,
69.660,0.303,-0.048,0.851,-1.572,0.734,
69.812,0.382,-0.146,0.355,-1.409,0.616,
69.963,0.319,-0.180,1.561,-0.329,0.621,
70.108,0.349,-0.174,0.241,-1.767,0.647,
70.256,0.319,-0.117,1.054,-1.323,0.712,
70.407,0.287,-0.137,0.559,-1.179,0.715,
70.595,0.276,-0.170,1.066,-1.596,0.668,
70.766,0.301,-0.093,1.611,-0.735,0.729,
70.931,0.310,-0.161,0.716,-1.626,0.676,
71.112,0.208,-0.187,0.940,-0.756,0.928,
71.262,0.278,-0.131,1.569,-0.172,0.676,
71.401,0.279,-0.139,1.758,-0.856,0.697,
71.543,0.351,-0.101,1.832,-0.121,0.735,
71.679,0.310,-0.111,1.859,-1.527,0.712,
71.832,0.316,-0.181,0.363,-1.780,0.602,
71.982,0.426,-0.127,0.904,-1.840,0.641,
72.133,0.290,-0.193,1.456,-0.834,0.642,
72.280,0.330,-0.086,1.854,-1.031,0.706,
72.438,0.327,-0.106,1.607,-0.957,0.726,
72.581,0.341,-0.128,0.959,-1.478,0.678,
72.726,0.348,-0.147,1.515,-1.366,0.698,
72.872,0.281,-0.059,1.829,-0.275,0.752,
73.030,0.182,-0.223,0.050,-1.469,0.792,
73.175,0.319,-0.146,1.214,-1.769,0.687,
73.322,0.346,-0.160,0.393,-1.522,0.689,
73.474,0.307,-0.183,0.123,-1.641,0.591,
73.623,0.338,-0.099,1.565,-1.075,0.689,
73.774,0.346,-0.091,1.646,-0.680,0.737,
73.923,0.312,-0.109,1.608,-0.672,0.704,
74.075,0.280,-0.145,0.838,-1.440,0.676,
74.225,0.277,-0.037,2.314,0.010,0.728,
74.370,0.349,-0.168,1.372,-1.446,0.715,
74.512,0.335,-0.129,1.773,-1.009,0.630,
74.657,0.305,-0.155,1.872,-1.171,0.682,
74.806,0.322,-0.151,1.081,-1.439,0.726,
74.952,0.334,-0.123,0.832,-1.504,0.668,
75.094,0.313,-0.165,1.719,-1.119,0.653,
75.238,0.287,-0.190,1.818,-1.412,0.701,
75.391,0.373,-0.142,0.502,-1.589,0.692,
75.538,0.283,-0.123,0.672,-1.248,0.732,
75.683,0.337,-0.189,1.688,-1.449,0.689,
75.826,0.384,-0.145,1.767,-1.363,0.743,
75.972,0.295,-0.084,1.346,-1.367,0.783,
76.116,0.366,-0.144,1.784,-1.038,0.696,
76.261,0.343,-0.138,1.454,-1.280,0.631,
76.412,0.372,-0.147,0.558,-1.383,0.604,
76.556,0.355,-0.149,0.513,-1.611,0.596,
76.702,0.332,-0.172,1.627,-0.332,0.683,
76.853,0.190,-0.244,1.074,-1.141,0.905,
77.007,0.346,-0.111,2.086,-0.858,0.779,
77.159,0.286,-0.090,1.917,-0.345,0.717,
77.298,0.288,-0.109,1.475,-0.920,0.748,
77.444,0.415,-0.213,1.918,-0.356,0.575,
77.597,0.341,-0.144,2.179,-0.374,0.737,
77.749,0.330,-0.119,0.448,-1.494,0.744,
77.890,0.316,-0.157,0.752,-1.464,0.654,
78.031,0.299,-0.160,0.483,-1.352,0.701,
78.179,0.314,-0.084,2.043,-1.053,0.687,
78.338,0.298,-0.128,0.275,-1.140,0.717,
78.481,0.342,-0.145,1.445,-1.076,0.735,
78.622,0.327,-0.135,1.224,-1.475,0.623,
78.770,0.343,-0.112,1.790,-1.552,0.725,
78.916,0.317,-0.169,0.457,-0.927,0.703,
79.066,0.321,-0.106,2.072,-1.617,0.695,
79.206,0.294,-0.156,1.949,-0.133,0.779,
79.352,0.340,-0.156,0.647,-1.507,0.694,
79.497,0.294,-0.035,2.177,-1.398,0.732,
79.644,0.349,-0.150,2.011,-0.433,0.713,
79.786,0.373,-0.072,0.441,-1.555,0.734,
79.938,0.266,-0.058,1.602,-1.361,0.785,
